Id,SalePrice
892,172500
294,235000
1406,275000
1335,125000
959,185000
155,125000
488,175000
1260,151000
1336,167900
16,132000
815,116000
1157,179900
259,231500
1066,328000
1272,185750
355,140000
72,129500
517,158000
1347,262500
1307,202500
754,275500
1404,282922
1375,250000
929,236500
389,191000
295,167000
970,140000
789,107900
204,149000
646,143250
1329,256000
1021,176000
1154,120500
547,210000
767,196500
396,129000
244,120000
1409,125500
241,262500
456,175500
86,260000
1152,149900
988,395192
785,128000
1397,160000
913,88000
528,446261
1129,215000
1104,159500
543,213250
1127,174000
999,91000
530,200624
262,276000
1038,287000
777,221500
689,392000
1069,151400
771,134900
980,139000
449,119500
1435,160000
774,114500
494,155000
686,207500
1330,176500
964,239000
215,161750
301,157000
1010,102000
87,174000
463,62383
945,137500
507,215000
1163,129000
753,217000
792,146800
867,248900
480,89471
5,250000
677,87000
722,143000
628,153000
76,91000
1390,131000
42,170000
159,254900
1346,108500
139,230000
535,178000
591,185900
430,175000
1413,90000
1257,301500
529,86000
338,214000
1228,147000
1008,88000
504,289000
1453,145000
1156,218000
62,101000
693,335000
1020,213490
947,143000
1117,184100
513,129900
1195,158000
613,261500
550,263000
476,132500
994,173900
852,215000
589,143000
697,89000
584,325000
1253,130000
537,188000
51,177000
89,85000
1249,129500
464,188700
907,255000
57,172500
643,345000
692,755000
13,144000
975,167500
127,128000
936,79900
214,156000
829,185000
1443,310000
1139,196000
1211,189000
305,295000
649,155000
729,110000
1436,174000
579,146000
576,118500
95,204750
426,135000
645,370878
1371,105000
107,100000
129,155000
575,139000
1333,100000
341,202900
183,120000
1051,176485
604,151000
639,85000
249,180000
35,277500
121,180000
961,116500
10,118000
1277,162000
769,216837
253,173000
41,160000
93,163500
1125,163900
1396,281213
1067,178000
1327,79000
56,180500
1316,206900
570,135960
1106,325000
801,200000
1107,179900
118,155000
12,345000
1132,93500
890,149500
809,159950
582,253293
385,240000
1224,137900
55,130000
1105,106000
1418,340000
1063,90000
220,167240
1383,157000
15,157000
339,202500
664,137500
1304,232000
1028,293077
310,360000
232,403000
191,315000
782,175900
784,165500
1401,120000
437,116000
1166,233170
43,144000
1245,230000
1363,104900
786,161500
969,37900
1284,139000
413,222000
1073,91500
364,118000
323,301000
1324,82500
423,113000
687,227875
935,242000
674,257500
508,208300
195,127000
894,165000
921,201000
721,275000
949,192500
298,239000
694,108480
137,143000
1071,135000
1263,161500
838,100000
289,122000
1095,129000
261,176000
363,198500
631,124000
636,200000
644,152000
1155,201800
50,127000
1345,155835
1360,315000
189,153337
862,131500
620,305000
1424,274970
843,174900
282,185000
523,159000
1417,122500
104,198900
457,98000
985,126000
658,149000
542,248000
880,136500
1068,167900
605,221000
1309,147000
641,274000
1205,153500
1296,138500
378,340000
474,440000
399,67000
420,142000
130,150000
1400,137450
1410,215000
361,156000
1209,140000
1331,227000
352,190000
1271,260000
766,264132
1455,185000
1368,127000
663,110000
18,90000
287,159000
1295,115000
1009,240000
349,154000
1217,112000
250,277000
1422,127500
1193,125000
634,139400
1093,136500
8,200000
996,121600
1441,191000
1075,194000
746,299800
1221,115000
481,326000
819,155000
747,236000
19,159000
865,250580
1365,144152
932,117500
633,82500
1294,162900
75,107400
1317,295493
718,157000
971,135000
465,124000
1300,154000
224,97000
1119,140000
735,108000
715,130500
1178,115000
1411,230000
84,126500
1332,132500
271,266000
847,213000
957,124000
1386,125500
1268,378500
640,264561
723,124500
878,350000
21,325300
803,189000
386,192000
333,284000
781,176000
325,242000
228,106000
1376,239000
668,193500
1247,186500
440,110000
362,145000
1273,137000
1200,148000
1290,281000
555,284000
1189,195000
939,239799
1341,123000
531,175000
1213,113000
470,187000
1256,127500
1359,177500
369,132000
1280,68400
661,197900
561,121500
1259,190000
267,185000
908,250000
461,263435
1017,203000
855,170000
896,140000
758,158900
326,87000
477,208900
995,337500
422,215000
71,244000
1052,200141
17,149000
212,186000
114,217000
88,164500
768,160000
1206,271900
1044,262280
81,193500
1292,119500
1415,207000
991,348000
1286,132500
1109,181000
316,188500
1128,259000
290,153575
1402,193000
1434,186500
757,212000
1033,310000
965,214900
1403,193879
1029,105000
1289,278000
554,108000
63,202500
314,375000
263,151000
70,225000
1445,179600
67,180000
836,128000
560,234000
1023,87000
750,98000
117,139000
1204,213000
564,185000
375,219500
403,108000
11,129500
475,251000
1049,115000
272,241500
590,79500
418,239000
498,184000
1384,112000
962,272000
197,311872
654,135000
119,320000
727,222000
1,208500
1223,143000
897,106500
131,226000
1354,410000
1343,228500
1055,255000
998,185000
392,215000
1100,157000
702,140000
1243,170000
705,213000
126,84500
1306,325000
274,139000
1288,190000
1314,333168
448,199900
1312,203000
1118,130000
760,290000
977,85500
236,89500
1183,745000
1171,171000
469,250000
29,207500
1340,128500
1361,189000
351,318061
773,107000
1275,139000
402,164990
256,230000
202,171500
1241,224900
608,225000
176,243000
706,55000
1239,142500
601,275000
538,111250
1246,178000
308,89500
450,120000
381,127000
1164,108959
1148,174500
752,162000
1011,135000
235,216500
810,106000
984,255900
585,133000
1420,223000
1274,177000
1037,315500
1391,235000
927,285000
257,207500
427,275000
1162,224000
9,129900
278,141000
1087,83500
1447,157900
167,190000
737,93500
174,163000
816,224900
1057,185850
588,137000
27,134800
775,395000
151,122000
1313,302000
652,108000
1378,117000
955,127500
662,402000
902,153000
384,76000
701,312500
817,137000
149,141000
1015,119200
367,159000
74,144900
1428,140000
69,80000
684,285000
115,259500
1181,250000
1141,139000
7,307000
832,151000
765,270000
616,137500
546,229000
511,164900
714,129000
1136,102000
642,226000
874,133000
872,200500
1426,142000
296,142500
1114,134500
237,185500
672,103600
153,190000
707,302000
419,126000
1299,160000
1172,163000
1412,140000
433,122500
377,148000
365,190000
920,176500
1301,225000
839,144000
1366,216000
903,180000
162,412500
354,105900
899,611657
877,132250
1207,107000
607,152000
379,394432
1137,119000
853,164000
1408,112000
637,60000
1369,144000
311,165600
541,315000
814,157900
1099,128000
393,106500
405,168000
941,150900
501,113000
109,115000
863,152000
3,223500
1372,165500
1201,116050
412,145000
917,35311
1161,146000
515,96500
536,107500
26,256300
218,107000
1266,183900
904,240000
666,230500
1115,117000
665,423000
1293,107500
1262,128900
1175,239000
1187,95000
1337,135000
744,175000
73,185000
1216,125000
382,187750
587,130000
924,193000
568,214000
820,224000
1103,135000
764,337000
1353,134900
490,86000
260,97000
255,145000
424,315000
850,187000
85,168500
544,133000
571,142600
772,102000
39,109000
270,148000
142,260000
793,269790
1399,138000
400,241000
23,230000
741,132000
1318,208900
915,173733
1180,93000
408,177000
898,142953
1367,193000
357,173000
186,475000
337,377426
128,87000
116,176000
1414,257000
1325,147000
182,200100
1407,133000
603,220000
742,142000
468,146500
926,175000
133,150750
648,155000
360,280000
1199,178000
1061,213500
954,172000
1429,119000
638,93000
313,119900
756,172500
332,139000
521,106250
1182,392500
1338,52500
930,222000
611,313000
472,190000
968,135000
216,134450
748,265979
336,228950
1116,318000
374,123000
80,110000
1215,134500
676,148500
1319,275000
1219,80500
61,158000
586,369900
690,194700
110,190000
901,110000
1454,84500
1438,394617
307,225000
1101,60000
657,145500
135,180000
1233,101800
401,245500
434,181000
376,61000
466,178740
953,133900
188,135000
171,128500
621,67000
24,129900
1202,197900
755,156000
1282,180000
972,173000
451,110000
1281,227000
281,228500
345,85000
258,220000
730,103000
1126,115000
265,73000
82,153500
979,110000
196,148500
1001,82000
350,437154
925,207500
834,167000
598,194201
1089,137500
251,76500
482,374000
371,172400
205,110000
807,135500
738,239900
1321,156500
858,174000
1074,159500
304,149900
532,128000
207,143900
1078,138800
794,225000
1081,145000
1254,294000
1203,117000
319,260000
1065,154000
185,127000
1230,127000
209,277000
805,118000
700,196000
1143,424870
1149,116900
822,93000
491,115000
54,385000
888,135500
569,316600
812,144500
891,122900
1291,180500
165,152000
783,187100
770,538000
599,217500
238,194500
1194,165000
593,138000
1218,229456
655,350000
597,114504
1357,110000
1227,214000
1098,170000
963,155000
429,195400
713,189000
458,256000
47,239686
563,108000
318,270000
143,166000
895,118858
848,133500
97,214000
1298,140000
91,109900
1276,137000
322,354000
230,192500
275,124500
1082,133000
710,109900
1387,250000
1094,146000
594,140000
493,172785
292,135900
211,98000
66,317000
548,129500
545,179665
187,173000
1285,169000
790,187500
125,181000
1022,194000
1308,138000
1432,143750
1006,149900
92,98600
1362,260000
739,179000
1031,160000
973,99500
90,123600
827,109500
172,215000
1076,219500
854,158000
761,127500
933,320000
163,220000
881,157000
778,142500
1339,200000
208,141000
431,85400
1320,111000
670,137500
763,215200
1297,155000
1229,367294
152,372402
1237,175500
1018,187500
1446,129000
943,150000
348,157500
181,177000
1439,149700
990,197000
136,174000
1165,194000
4,140000
534,39300
906,128000
1394,163000
373,125000
193,192000
989,195000
886,328900
861,189950
299,175000
276,205000
650,84500
779,144000
1287,143000
1444,121000
435,81000
1112,205000
1328,130500
821,183000
948,270000
1248,169900
166,127500
102,178000
1146,149000
716,165000
1342,155000
795,194500
286,164700
572,120000
65,219500
1311,335000
912,143500
851,131500
404,258000
931,201000
1056,180000
1160,185000
421,206300
557,141000
460,110000
871,109500
37,145000
1047,556581
1283,150500
1054,144500
1226,145000
1381,58500
356,177500
1026,112500
1120,133700
905,125500
1322,72500
1440,197000
1192,174000
1041,155000
1212,164000
632,209500
372,134432
283,207500
1145,80000
835,139950
698,123500
879,148000
1123,112000
453,204000
467,167000
409,280000
243,79000
1043,196000
388,125000
248,140000
158,269500
1079,155900
443,162900
625,165150
100,128950
1423,136500
1270,144000
914,145000
1261,181000
653,191000
596,319000
297,152000
28,306000
300,158500
1225,184000
22,139400
246,241500
368,165000
780,135000
518,265000
175,184000
1144,80000
1351,200000
1231,190000
407,115000
1222,134000
170,228000
1349,215000
441,555000
911,154300
406,150000
123,136000
179,501837
1269,381000
347,151500
247,137000
1326,55000
1151,124000
428,109008
154,235000
1356,170000
1084,160000
1077,170000
909,131000
